id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
1,1665.0342,1922.6544,0.47972923,0.69944115,0.036512986,25,0,726.98593,1.0274932,-0.029447349
2,1796.2379,2011.5968,0.60147686,0.36003698,0.70705393,25,0,862.6661,1.0031583,-0.0034236749
3,613.05714,2028.9955,0.51256628,-0.23744117,0.55752894,25,0,873.99063,1.0400389,-0.042623991
4,2966.8442,2104.4435,0.5602591,0.1006539,0.20207936,25,0,6524.4335,4.1672692,-1.5496289
5,2284.444,2196.0098,0.6567201,0.15302018,-0.20265159,25,0,3083.4702,1.9519972,-0.72619799
6,1781.0556,2237.7468,0.54215669,0.089836596,-0.021076895,25,0,1495.5008,1.0593555,-0.062604327
7,1177.4386,2260.0697,0.72530361,-0.13998641,-0.18093337,25,0,4492.4419,2.6011801,-1.0379261
8,2575.9501,2388.5826,0.76842027,0.032179383,0.20599541,25,0,2815.939,1.5864399,-0.50105906
9,3337.0466,2515.9911,0.6478041,-0.22554193,0.19087554,25,0,5642.3613,1.9981552,-0.75157306
